name,latitude,longitude
Urochishche Kerosinnoye,51.06094,36.4429
Danilovskoye,58.7171,36.4521
Timonino,58.7539,36.4624
Bol’shoy Bor,57.8342,36.4725
Kuznetsovo Vtoroye,53.36667,36.48333
Zharov,53.54333,36.4925
Mokshino,56.581,36.5015
Verkhovatyy,52.6768,36.5119
Bayutino,54.50972,36.52172
Iyevlevo,57.35,36.53333
Zarech’ye,53.3037,36.54452
Chermoshnoye Pervoye,51.38029,36.55269
Bludi,57.1887,36.5631
Plota,51.8104,36.57022
Kobyakovo,53.06517,36.58158
Gorbuntsovo,53.11795,36.58965
Nizhnyaya Sergeyevka,52.61667,36.6
Samsonova,55.11195,36.60885
Karla Marksa,56.6,36.61667
Vyvorotkovo,51.57256,36.62468
Minino,56.48333,36.63333
Mayak Peredniy Chushinskiy,45.31943,36.64347
Pozharki,54.79344,36.65098
Ostrechina,57.79118,36.66028
Arsen’yevo,53.73794,36.66749
Isakovo,54.27711,36.67758
Ozero Luka,57.05944,36.68472
Bobrovka,52.56262,36.69325
Aleksandrovo-Mar’ino,58.9103,36.7011
Bes’kovo,53.54326,36.71005
Ozero Karas’ye,60.0078,36.7174
Moseyevka,54.57468,36.72767
Turgenevo,53.46435,36.73334
Krutoy Log,50.5215,36.74204
Vershiny,60.93333,36.75
Soskino,56.1371,36.7602
Spass,54.32267,36.76843
Stantsiya Sarayevka,51.32195,36.77837
Fëdorovka,52.5253,36.7852
Davydovskoye,55.85884,36.79757
Topki,52.4151,36.8058
Yakovlevka,51.58306,36.81556
Balka Serommakhina,45.19111,36.82278
Ozero Lupozero,60.3214,36.832
Bosarevo,54.3682,36.84119
Nizhneye Skvorcheye,52.86667,36.85
Topki,52.40466,36.85935
Glumikha,57.971,36.8676
Bredikhino Vtoroye,53.38083,36.8775
Myshkino,58.2517,36.889
Stepan’kovo,55.98444,36.89944
Kamyshevka,51.06217,36.90814
Kurilovo,56.1,36.91667
Krasnyy Oktyabr’,57.8229,36.9263
Nikolayevskaya,60.85,36.93333
Berëzovo,53.8364,36.94485
Khryashchevoye,50.75291,36.95452
Berezhay,57.4397,36.9644
Novosëlki,55.27862,36.97079
Golubinskiy,45.395,36.98083
Pitomnik Lytkino Akademii Meditsinskikh Nauk Soyuza Sovetskikh Sotsialisticheskikh Respublik,56.0186,36.9903
Belavino,56.06667,37.0
Dmitriyevka,50.48767,37.01
Bokarëvo,57.78898,37.02008
Gora Girka,45.22577,37.03127
Nazar'yevo,55.67417,37.04028
Berëzovka,56.48333,37.05
Gorodishche,50.7526,37.06055
Kazarma 311 km,58.1848,37.0703
Vyazovets,57.5701,37.082
Saritsa,60.70052,37.09311
Novomorozovo,52.41083,37.10027
Kurgany Popovy,45.22329,37.11149
Shevrigino,57.2075,37.1191
Borikhino,58.3588,37.1295
Vasilëvo,58.2832,37.1374
Urochishche Afanasovo,57.0883,37.1463
Khotilovo,58.1986,37.15326
Mechnikovo,55.75472,37.16427
Nikol’skoye,54.0499,37.17253
Klusovo,56.28333,37.18333
Loshach’ye,54.2081,37.19351
Golokhvostovo,55.37113,37.20276
Aleksandrovka,55.75328,37.21146
Urochishche Grachëvka,50.98951,37.21863
Yefimovka,55.22962,37.22919
Savost’yanovo,54.14361,37.23806
Unitsy,57.458,37.2495
Tseplyayevo Pervoye,50.4998,37.2583
Lutskoye,55.75,37.26667
Korotkoye,50.8892,37.2742
Bunteikha,56.1,37.28333
Kema,60.4297,37.2918
Ivanovskoye,59.31667,37.3
Nikonorovo,55.7,37.31
Podosinki,55.43611,37.31722
Ostanovochnyy Punkt 274 km,55.24472,37.32667
Novoye Roshchino,58.019,37.3343
Myshkino,58.72179,37.34369
Drozdeyevo,58.2752,37.3507
Piskovo,55.53877,37.36053
Shemyakino,55.99806,37.36889
